id	UnitId	等级	升级经验	生命	力量	防御	命中	闪避	暴击	抗暴
number	number	number	number	number	number	number	number	number	number	number
id	UnitId	Lv	Exp	MaxHP	STR	DEF	Hit	Dodge	Critical	Tenacity
10010001	1001	1	3570	605	104	38	139	32	46	139
10010002	1001	2	3910	626	108	39	144	33	48	144
10010003	1001	3	4278	648	112	41	149	34	50	149
10010004	1001	4	4677	672	116	42	154	36	51	154
10010005	1001	5	5107	696	120	44	160	37	53	160
10010006	1001	6	5573	722	125	45	166	38	55	166
10010007	1001	7	6076	749	129	47	172	40	57	172
10010008	1001	8	6620	778	134	49	179	41	60	179
10010009	1001	9	7206	807	139	51	186	43	62	186
10010010	1001	10	7840	838	145	53	193	44	64	193
10010011	1001	11	8523	870	150	55	200	46	67	200
10010012	1001	12	9261	904	156	57	208	48	69	208
10010013	1001	13	10056	938	162	59	216	50	72	216
10010014	1001	14	10913	974	168	61	224	52	75	224
10010015	1001	15	11837	1011	174	63	232	54	77	232
10010016	1001	16	12832	1049	181	66	241	56	80	241
10010017	1001	17	13904	1089	188	68	250	58	83	250
10010018	1001	18	15059	1130	195	71	260	60	87	260
10010019	1001	19	16302	1172	202	73	269	62	90	269
10010020	1001	20	17640	1215	209	76	279	64	93	279
10010021	1001	21	19080	1259	217	79	290	67	97	290
10010022	1001	22	20629	1305	225	82	300	69	100	300
10010023	1001	23	22296	1352	233	85	311	72	104	311
10010024	1001	24	24088	1400	241	88	322	74	107	322
10010025	1001	25	26015	1450	250	91	333	77	111	333
10010026	1001	26	28087	1500	259	94	345	80	115	345
10010027	1001	27	30313	1552	268	97	357	82	119	357
10010028	1001	28	32706	1605	277	101	369	85	123	369
10010029	1001	29	35276	1660	286	104	382	88	127	382
10010030	1001	30	38038	1715	296	108	394	91	131	394
10010031	1001	31	41003	1772	306	111	407	94	136	407
10010032	1001	32	44188	1830	316	115	421	97	140	421
10010033	1001	33	47607	1890	326	118	434	100	145	434
10010034	1001	34	51277	1950	336	122	448	103	149	448
10010035	1001	35	55217	2012	347	126	463	107	154	463
10010036	1001	36	59444	2075	358	130	477	110	159	477
10010037	1001	37	63980	2139	369	134	492	113	164	492
10010038	1001	38	68847	2205	380	138	507	117	169	507
10010039	1001	39	74067	2272	392	142	522	121	174	522
10010040	1001	40	79665	2340	403	147	538	124	179	538
10010041	1001	41	85669	2409	415	151	554	128	185	554
10010042	1001	42	92106	2479	427	155	570	132	190	570
10010043	1001	43	99008	2551	440	160	586	135	195	586
10010044	1001	44	106406	2624	452	165	603	139	201	603
10010045	1001	45	114335	2698	465	169	620	143	207	620
10010046	1001	46	122833	2774	478	174	638	147	213	638
10010047	1001	47	131939	2850	491	179	655	151	218	655
10010048	1001	48	141696	2928	505	184	673	155	224	673
10010049	1001	49	152148	3007	518	189	691	160	230	691
10010050	1001	50	163345	3088	532	194	710	164	237	710
10010051	1001	51	175337	3169	546	199	729	168	243	729
10010052	1001	52	188181	3252	561	204	748	173	249	748
10010053	1001	53	201934	3336	575	209	767	177	256	767
10010054	1001	54	216661	3422	590	215	787	182	262	787
10010055	1001	55	232427	3508	605	220	806	186	269	806
10010056	1001	56	249306	3596	620	225	827	191	276	827
10010057	1001	57	267373	3685	635	231	847	195	282	847
10010058	1001	58	286711	3775	651	237	868	200	289	868
10010059	1001	59	307407	3867	667	242	889	205	296	889
10010060	1001	60	329554	3959	683	248	910	210	303	910
10010061	1001	61	353253	4053	699	254	932	215	311	932
10010062	1001	62	378608	4149	715	260	954	220	318	954
10010063	1001	63	405735	4245	732	266	976	225	325	976
10010064	1001	64	434754	4343	749	272	998	230	333	998
10010065	1001	65	465794	4442	766	278	1021	236	340	1021
10010066	1001	66	498995	4542	783	285	1044	241	348	1044
10010067	1001	67	534502	4643	801	291	1067	246	356	1067
10010068	1001	68	572474	4746	818	298	1091	252	364	1091
10010069	1001	69	613078	4850	836	304	1115	257	372	1115
10010070	1001	70	656494	4955	854	311	1139	263	380	1139
10010071	1001	71	702913	5061	873	317	1164	269	388	1164
10010072	1001	72	752539	5169	891	324	1188	274	396	1188
10010073	1001	73	805589	5278	910	331	1213	280	404	1213
10010074	1001	74	862296	5388	929	338	1239	286	413	1239
