id	UnitId	等级	生命	生命	升级经验	力量	敏捷	智力	意志	幸运
number	number	number	number	number	number	number	number	number	number	number
id	UnitId	Lv	HP	MP	Exp	STR	DEX	INT	WILL	LUCK
10010001	1001	1	605	61 	3570	104	38	139	32	46
10010002	1001	2	626	63 	3910	108	39	144	33	48
10010003	1001	3	648	65 	4278	112	41	149	34	50
10010004	1001	4	672	67 	4677	116	42	154	36	51
10010005	1001	5	696	70 	5107	120	44	160	37	53
10010006	1001	6	722	72 	5573	125	45	166	38	55
10010007	1001	7	749	75 	6076	129	47	172	40	57
10010008	1001	8	778	78 	6620	134	49	179	41	60
10010009	1001	9	807	81 	7206	139	51	186	43	62
10010010	1001	10	838	84 	7840	145	53	193	44	64
10010011	1001	11	870	87 	8523	150	55	200	46	67
10010012	1001	12	904	90 	9261	156	57	208	48	69
10010013	1001	13	938	94 	10056	162	59	216	50	72
10010014	1001	14	974	97 	10913	168	61	224	52	75
10010015	1001	15	1011	101 	11837	174	63	232	54	77
10010016	1001	16	1049	105 	12832	181	66	241	56	80
10010017	1001	17	1089	109 	13904	188	68	250	58	83
10010018	1001	18	1130	113 	15059	195	71	260	60	87
10010019	1001	19	1172	117 	16302	202	73	269	62	90
10010020	1001	20	1215	122 	17640	209	76	279	64	93
10010021	1001	21	1259	126 	19080	217	79	290	67	97
10010022	1001	22	1305	131 	20629	225	82	300	69	100
10010023	1001	23	1352	135 	22296	233	85	311	72	104
10010024	1001	24	1400	140 	24088	241	88	322	74	107
10010025	1001	25	1450	145 	26015	250	91	333	77	111
10010026	1001	26	1500	150 	28087	259	94	345	80	115
10010027	1001	27	1552	155 	30313	268	97	357	82	119
10010028	1001	28	1605	161 	32706	277	101	369	85	123
10010029	1001	29	1660	166 	35276	286	104	382	88	127
10010030	1001	30	1715	172 	38038	296	108	394	91	131
10010031	1001	31	1772	177 	41003	306	111	407	94	136
10010032	1001	32	1830	183 	44188	316	115	421	97	140
10010033	1001	33	1890	189 	47607	326	118	434	100	145
10010034	1001	34	1950	195 	51277	336	122	448	103	149
10010035	1001	35	2012	201 	55217	347	126	463	107	154
10010036	1001	36	2075	208 	59444	358	130	477	110	159
10010037	1001	37	2139	214 	63980	369	134	492	113	164
10010038	1001	38	2205	221 	68847	380	138	507	117	169
10010039	1001	39	2272	227 	74067	392	142	522	121	174
10010040	1001	40	2340	234 	79665	403	147	538	124	179
10010041	1001	41	2409	241 	85669	415	151	554	128	185
10010042	1001	42	2479	248 	92106	427	155	570	132	190
10010043	1001	43	2551	255 	99008	440	160	586	135	195
10010044	1001	44	2624	262 	106406	452	165	603	139	201
10010045	1001	45	2698	270 	114335	465	169	620	143	207
10010046	1001	46	2774	277 	122833	478	174	638	147	213
10010047	1001	47	2850	285 	131939	491	179	655	151	218
10010048	1001	48	2928	293 	141696	505	184	673	155	224
10010049	1001	49	3007	301 	152148	518	189	691	160	230
10010050	1001	50	3088	309 	163345	532	194	710	164	237
10010051	1001	51	3169	317 	175337	546	199	729	168	243
10010052	1001	52	3252	325 	188181	561	204	748	173	249
10010053	1001	53	3336	334 	201934	575	209	767	177	256
10010054	1001	54	3422	342 	216661	590	215	787	182	262
10010055	1001	55	3508	351 	232427	605	220	806	186	269
10010056	1001	56	3596	360 	249306	620	225	827	191	276
10010057	1001	57	3685	369 	267373	635	231	847	195	282
10010058	1001	58	3775	378 	286711	651	237	868	200	289
10010059	1001	59	3867	387 	307407	667	242	889	205	296
10010060	1001	60	3959	396 	329554	683	248	910	210	303
10010061	1001	61	4053	405 	353253	699	254	932	215	311
10010062	1001	62	4149	415 	378608	715	260	954	220	318
10010063	1001	63	4245	425 	405735	732	266	976	225	325
10010064	1001	64	4343	434 	434754	749	272	998	230	333
10010065	1001	65	4442	444 	465794	766	278	1021	236	340
10010066	1001	66	4542	454 	498995	783	285	1044	241	348
10010067	1001	67	4643	464 	534502	801	291	1067	246	356
10010068	1001	68	4746	475 	572474	818	298	1091	252	364
10010069	1001	69	4850	485 	613078	836	304	1115	257	372
10010070	1001	70	4955	496 	656494	854	311	1139	263	380
