id	怪物名称	等级	生命	魔法值	力量	敏捷	智力	意志	幸运	技能	掉落组
number	string	number	number	number	number	number	number	number	number	list<number>	number
id	Name	Level	HP	MP	STR	DEX	INT	WILL	LUCK	Skill	Drop
100001	小恐龙	5	836	836	81	10	216	3	5	0	1
100002	火恐龙	10	855	855	84	10	224	6	12	0	2
100003	喷火龙	15	1480	1480	87	10	232	7	13	0	3
100006	杰尼龟	5	836	836	81	10	216	3	5	0	1
100007	卡尼龟	10	855	855	84	10	224	6	12	0	2
100008	水箭龟	15	1480	1480	87	10	232	7	13	0	3
100011	妙蛙种子	5	836	836	81	10	216	3	5	0	1
100012	妙蛙司机	10	855	855	84	10	224	6	12	0	2
100013	妙蛙老司机	15	1480	1480	87	10	232	7	13	0	3
100016	皮丘	5	836	836	81	10	216	3	5	0	1
100017	皮卡丘	10	855	855	84	10	224	6	12	0	2
100018	雷丘	15	1480	1480	87	10	232	7	13	0	3
